ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-29 12:03:25.294023+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00,40,85.28214117558758
2025-09-29 12:03:25.301477+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00
2025-09-29 12:03:31.256104+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 12:03:39.810403+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00,40,85.28214117558758
2025-09-29 12:03:39.834534+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00
2025-09-29 12:04:51.186836+00:00,price_fetch_start,corr-1759147030901,,JPY=X,15m,60d,,
2025-09-29 12:04:51.694725+00:00,price_fetch_success,corr-1759147030901,yfinance_history,JPY=X,15m,60d,500,
2025-09-29 12:05:01.871650+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00,40,84.59941440238126
2025-09-29 12:05:01.895771+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00
2025-09-29 12:11:17.276047+00:00,price_fetch_start,corr-1759147877276,,JPY=X,15m,60d,,
2025-09-29 12:11:17.734835+00:00,price_fetch_success,corr-1759147877276,yfinance_history,JPY=X,15m,60d,455,
2025-09-29 12:11:18.901469+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00,40,83.8096695359823
2025-09-29 12:11:18.908957+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:15:00+09:00,2025-09-29 21:00:00+09:00
2025-09-29 12:18:03.758151+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 12:18:04.168186+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,405,
2025-09-29 12:18:05.406078+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:30:00+09:00,2025-09-29 21:15:00+09:00,40,85.84832447246575
2025-09-29 12:18:05.413077+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:30:00+09:00,2025-09-29 21:15:00+09:00
2025-09-29 12:24:28.740977+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 12:24:29.178628+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,433,
2025-09-29 12:24:39.230371+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:30:00+09:00,2025-09-29 21:15:00+09:00,40,85.41511916632638
2025-09-29 12:24:39.258364+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:30:00+09:00,2025-09-29 21:15:00+09:00
2025-09-29 12:31:43.128584+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 12:31:43.791140+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 12:31:44.563090+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,525,
2025-09-29 12:31:53.249361+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 11:45:00+09:00,2025-09-29 21:30:00+09:00,40,85.80364663233318
2025-09-29 12:31:53.271256+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 11:45:00+09:00,2025-09-29 21:30:00+09:00
2025-09-29 13:05:23.037307+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 13:05:23.669768+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 13:05:24.208156+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,530,
2025-09-29 13:05:36.199268+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 12:15:00+09:00,2025-09-29 22:00:00+09:00,40,84.93149896810156
2025-09-29 13:05:36.235275+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 12:15:00+09:00,2025-09-29 22:00:00+09:00
2025-09-29 13:57:31.356652+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 13:57:32.221253+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 13:57:32.718889+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,489,
2025-09-29 13:57:42.313526+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 13:00:00+09:00,2025-09-29 22:45:00+09:00,40,82.27804702687061
2025-09-29 13:57:42.390434+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 13:00:00+09:00,2025-09-29 22:45:00+09:00
2025-09-29 14:21:11.793863+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
